CENTURION NOORD NED. BV;SEENDWEG 11;9936GA;FARMSUM
CENTURY BEDRIJFSWAGENS;PATERSWOLDSEWEG 139;9727BE;GRONINGEN
CITO TRANSPORTBEDRIJF BV;MIDDENWEG 106;1394AM;NEDERHORST DEN BERG
CK AGENCIES B.V.;KLOMPENMAKERSTRAAT 16c;2984BB;RIDDERKERK
CLEAN MAT TRUCKS B.V.;WAGENINGSESTRAAT 17;6673DB;ANDELST
COMBEX BV;MOUNEKAMP 4;9261XC;EASTERMAR
VOF COLLEWIJN & ZN;JONKERSWEG 2-4;9364TD;NUIS
COLOR STYLING & DESIGN;ROUAANSTRAAT 16 1;9723CD;GRONINGEN
COMBI-TRANS;WESTERBUORREN 9;9212PK;BOORNBERGUM
BOOTSERVICE COMMANDEUR;ZUIDERKOGGEWEG 2C;1607MV;HEM
THEO COMMANDEUR;WOGMEER 30;1711SR;HENSBROEK
COOLEGEM VEILIGHEID BV;DIENSTENSTRAAT 9;3161GN;RHOON
CMR INT. TRANSPORT;DE SMIDSE 2;1969NA;HEEMSKERK
F.B. CNOSSEN TRANSPORT;RIPERWEI 66;8623XP;JUTRIJP
COMPAAN CARR. BV;VAN VLISSINGENSTRAAT 51;9403BB;ASSEN
GARAGE KOMP-RESSOR BV;DISKETTEWEG 11;1033NW;AMSTERDAM
C.H.D.;NOORDSCHINKELDIJK 6;1759LA;CALLANTSOOG
CORDES AUTOVERHUUR;INDUSTRIESTRAAT 4A;1704AA;HEERHUGOWAARD
CORNELIS DRACHTEN BV;HET HELMHOUT 2;9206AZ;DRACHTEN
CORNELIS LEEUWARDEN BV;NEPTUNUSWEG 26;8938AA;LEEUWARDEN
CORNELIS BEDR.AUTO'S BV;P. DIJKEMAWEG 31/A;9731BB;GRONINGEN
CORNELIS HOOGEVEEN BV;STEPHENSONSTRAAT 19;7903AS;HOOGEVEEN
MCS WEGTRANSPORT BV;POSTBUS 561;9200AN;DRACHTEN
COSMO TRUCKS BV;ROERSTRAAT 1;7005BS;DOETINCHEM
COSMO TRUCKS BV;ENERGIEWEG 4;7772TV;HARDENBERG
COSMO TRUCKS BV;CELSIUSSTRAAT 20;3846BL;HARDERWIJK
COSMO TRUCKS BV;ROBIJNSTRAAT 2;7554TB;HENGELO
S. NOORMAN TRANSPORT;WESTERSTRAAT 19;9951EM;WINSUM
DATEMA TRANSPORTBEDRIJF;BOTERDIEP OZ 12;9781JA;BEDUM
AUTOBEDRIJF DALLINGA BV;RONDEBOSLAAN 11;9936BJ;DELFZIJL
DALLINGA AGF;SPITSBERGEN 4;9636TD;ZUIDBROEK
DALSTRA REIZEN;MOLENWEG 6;9231HS;SURHUISTERVEEN
VAN DAM MECHANISATIE;URSEMMERWEG 4;1646WN;URSEM
TRUCKLAND NH BV/ WOGNUM;WESTERSPOOR 19;1687AZ;WOGNUM
J.M. TRUCKING;HANDELSWEG 2;9301ZN;RODEN
TRUCKLAND NOORD-HOLLAND B.V.;GALILEISTRAAT 1;1704SE;HEERHUGOWAARD
DBR TRUCKING;KAZERNESTRAAT 4;9079NT;HOLWERD
DBR TRUCKING;KAZERNESTRAAT 4;9151HT;HOLWERD
D.-G. TRANSPORTBEDRIJF BV;STRANGEWEG 7;7731GV;OMMEN
DASKO KOEL&VRIESTRANSP.BV;BEDRIJVENPARK TWENTE 341;7602KL;ALMELO
DASKO KOEL&VRIESTRANSP.BV;PASCALWEG 6;8013RC;ZWOLLE
DELGER BEHEER BV;CAREL COENRAADPOLDER 6;9688TR;DRIEBORG
DB HOLDING BV;LEKDIJK 354a;2957VA;NIEUW-LEKKERLAND
DEIMAN TOURINGCARBEDRIJF;GRINTWEG 64;9675HL;WINSCHOTEN
DEKKER VERHUUR ROLDE;MARWIJKSOORD 4B;9448XB;ROLDE
DEKKER MATERIEEL BV;DORPSSTRAAT 81A;1452PJ;ILPENDAM
LOONBEDRIJF DEKKER VOF;BEULEKAMPERSTEEG 4;3882LK;PUTTEN
DEKWAATRANS HOLDING BV;DE WURFT 8;1738DX;WAARLAND
DELTA BERGING;F.KORTLANGLAAN 192;3851SJ;ERMELO
DEM LANDBOUWMECHANISATIE;JUPITERWEG 36;8938AE;LEEUWARDEN
DEMCO BV;WINKELERZAND 74;1731LZ;WINKEL
DENNEMAN;STRENGWEG 9C;1969KP;HEEMSKERK
J.M.DEURWAARDER EXPL.MAATS. B.V.;OUDEWAL 27;1749CA;WARMENHUIZEN
J.G. V. DEUVEREN BV;HARSELAARSEWEG 86;3771MB;BARNEVELD
V. DEUVEREN VOF;SCHAAPSVELD 12;3773ZJ;BARNEVELD
DIESEL SERVICE WEST BV;MARCONIWEG 12;2627BA;DELFT
DIESEL SERVICE WEST BV;NIEUWEWEG 2;2675BC;HONSELERSDIJK
DEKRO VOF;WOLDWEG 87;9606PB;KROPSWOLDE
WENSINK AUTOMOTIVE BV;ALBATROSSTRAAT 8 EMMEN;7821AM;EMMEN
WENSINK AUTOMOTIVE BV;BORNHOLMSTRAAT 42;9723AX;GRONINGEN
WENSINK AUTOMOTIVE BV;LLOYDSWEG 39;9641KC;VEENDAM
WENSINK AUTOMOTIVE BV;BUITENVAART 3003;7905TA;HOOGEVEEN
WENSINK AUTOMOTIVE BV;DUITSLANDLAAN 5;9403DL;ASSEN
DIETERMAN C.V.;VEENWEG 2 A;9678TL;WESTERLEE
DMF DIETVORST MACH.FABR.;MOLENSTRAAT 32;1911DA;UITGEEST
BERGINGSBEDRIJF DIKKEMA;BENELUXWEG 64;9636HV;ZUIDBROEK
DELFTECHNIEK-DELKEN BV;SIKKEL 12;9932BD;DELFZIJL
DIRIX ELSLOO B.V.;BUSINESS PARK STEIN 230;6181MB;ELSLOO
A.VAN DIS BEDRIJFSWAGENSPUITERIJ*;INDUSTRIEWEG 21c;9781AC;BEDUM
D.H.R.A.;HET AAMBEELD 11;1969NC;HEEMSKERK
GROOTHOF TRANSPORT;INDUSTRIEPARK 6K;9936AR;FARMSUM/DELFZIJL
DOEDIJNS AUTOMOTIVE B.V.;VAN RIEMSDIJKWEG 19-21;3088HB;ROTTERDAM
DONK CARR.& LAADKLEPSERV.;CHARLES DARWINSTRAAT 23;7825AB;EMMEN
BERT DONKER TRANSPORT;VERKERCKSTRAAT 63;9231GZ;SURHUISTERVEEN
AUTOBUSBEDR. DOORNBOS BV;PROTONSTRAAT 24;9743AL;GRONINGEN
DOUMA TRANSPORTEN;EDAMA 2;9981ND;UITHUIZEN
INSTALL.TECHN. DAMSTRA BV;KOLKENSLAAN 2;9114AG;DRIESUM
DE DEELEN VOF;WARREWEI 76;8406AD;TIJNJE
DEETERINK TRANSPORT.;HOLTERWEG 19;7475AT;MARKELO
R.B. DANHOF & ZN;WILHELMINALAAN 88;9953RR;BAFLO
DDM TRANSPORT;VELDZIGT 62;3454PW;DE MEERN
DOORNBOSCH TECHNIEK;VAN SWINDERENWEG 26B;9891TA;EZINGE
FA. R. DOORNENBAL & ZN.;MONNICKENDAMMERJAAGWEG 6;1135RD;EDAM
J. DOORNBOS TRANSPORT;TUINSTRAAT 1;9891AP;EZINGE
VAN DORST BEDRIJFSWAGENS;PEARYWEG 7;4462GT;GOES
B. DIEPHUIS;MOLENSTRAAT 15;9967SL;EENRUM
DORRO TRANS & TRADING;HOOGVEN 10;7534NC;ENSCHEDE
DICK BROERS TRANSPORT;SCHELPKORST 12;1771SL;WIERINGERWERF
DRACO FABR.V.WEGTRANSP.BV;ZADELMAKERSSTRAAT 9;8601WH;SNEEK
DRENTH TRANSPORT;MILLINGHAWEG 50;9822TE;NIEKERK
DRENTH HOLDING;HANCEKMALAAN 5;9801HJ;ZUIDHORN
DRENTH HANDEL EN TRANSPORT;DOKTER K.L. VD VEENLAAN 8;9822BA;NIEKERK
HEIN DRENTH TRANSPORT;BURG. BUISKOOLWEG 14;9551TZ;SELLINGEN
DRENT TRANSPORT VOF;DE FEART 121;9247CM;URETERP
DRENTHE TOURS B.V.;A.H.G. FOKKERSTRAAT 32;9403AP;ASSEN
DRENTH TRANSPORT BV;ATOOMWEG 19 a;9743AJ;GRONINGEN
H. DRENTH BV;DUURKENAKKER 2;9649JP;MUNTENDAM
DRONK BV;KOPERSTRAAT 26;3067GL;ROTTERDAM
DROST VEETRANSPORT BV;PRINSESSEWEG 33;7958RS;KOEKANGE
R. DROST HANDEL & VERHUUR;PRINSESSEWEG 25;7958RS;KOEKANGE
AUTOBEDRIJF P. DRUIJF;DE MOSSEL 8;1723HZ;NOORD-SCHARWOUDE
DRIJFHOUT BERT;BEATRIXLAAN 9;9781CM;BEDUM
DRIJFHOUT MATERIEEL SERV.;HOOFDWEG 43 (TAMMENGA);9628CK;SIDDEBUREN
GEBR. DRIJFHOUT;LAGEWEG 9;9781TD;BEDUM
DTC SURHUISTERVEEN BV;DALWEG 5;9231HX;SURHUISTERVEEN
DTW TRANSPORT;KOTTERSTRAAT 18A;8102HZ;RAALTE
DML BV;WARFHUISTERWEG 15;9964AX;WEHE DEN HOORN
DUYVESTIJN VAN RULO;OUDEWEG 33;9686VA;BEERTA
W. DUIS TRANSPORT BV;ZAAGZELPAD 1;1544AB;ZAANDIJK
DUIJGHUIJZEN INT.EXP.BV;GOUDWERF 5;6641TE;BEUNINGEN
J.H.C. DUIJN;VEENHUIZERWEG 6A;1704DM;HEERHUGOWAARD
VAN DUIVENBODEN TRANSPORT;EBBINGEKAMP 39;9471CB;ZUIDLAREN
VAN DIJK TRANSPORT;MONTAGESTRAAT 5;8263BP;KAMPEN
AUTOBEDRIJF VAN DIJK BV;ROSMOLENLAAN 5;3447GL;WOERDEN
VAN DIJK CULEMBORG BV;ROLWEG 13;4104AV;CULEMBORG
EDDY VAN IJKEN TRANSPORT;EEMWEG 45/A;3755LG;EEMNES
AUTOBEDRIJF VAN DIJK BV;OTTO HAHNWEG 8;3542AX;UTRECHT
ED VAN DIJK TRANSP.DIENSTVERL.;MOLENSTEYN 36;3454PT;DE MEERN
FA J. VAN DIJK METAALBEW.;BOVENSTREEK 3;9731DH;GRONINGEN
VAN DIJK AUTOMATERIALEN;STRUISVOGELSTRAAT 13;9713BT;GRONINGEN
LOONBDR. GEBR. V.DIJKEN;TOORNWERDERWEG 3;9994PB;TOORNWERD
VAN DIJKEN TRANSPORT;BENEDEN VERLAAT 75;9645BM;VEENDAM
T. DIJKEMA;PEIZERWEG 293;9744BG;GRONINGEN
JAN DIJKHUIS;LOOSTERWEG 17;9566PC;VEELERVEEN
DIJKEMA TRANSPORT;KOSTERIJWEG 9;9922PK;WESTEREMDEN
AUTO&HEFTR.BEDR. DIJKMAN;KORENMOLENDREEF 2;9621TK;SLOCHTEREN
ROBIN DIJKSTRA;MERELSTRAAT 21;1781WB;DEN HELDER
KON.SJ.DIJKSTRA & ZN B.V.;A.HARKEMAWEG 23A;9831RD;ADUARD
DIJKSTRA AGRA SERVICE;PROVINCIALEWEG 4;9862PE;SEBALDEBUREN
DIJKSTRA LOONBEDRIJF;BENELUXWEG 76;9636HV;ZUIDBROEK
NIEK DIJKSTRA TRANSP. BV;JUPITER 2a;8448CD;HEERENVEEN
DIJKSTRA MECHANISATIE BV;BEUCKENSWIJKSTRAAT 12;8565GN;SONDEL
GEBR. DUNNINK BV;JAN VISSCHERWEG 1;7711ES;NIEUWLEUSEN
DUVECO TRANSPORT BV;HOOFDSTRAAT 61;2071EB;SANDPOORT NOORD
DVJ HOLDING BV;INDUSTRIEWEG 1;8501SN;JOURE
DVO PARTS B.V.;DWARSWEG 5;3181HP;ROZENBURG
EB TRANSPORT;WESTEIND 86;9636CE;ZUIDBROEK
EBAG TRUCKS UTRECHT BV;MEIJEWETERING 21;3543AA;UTRECHT
AUTOBEDRIJF M. EBBINGE;GRONINGERWEG 57;9321TB;PEIZE
EBOTEX BV;HUISWEERSTERWEG 1;9628TS;SIDDEBUREN
VAN ECK LEXMOND BV;LAKERVELD 43;4128LE;LEXMOND
G. VAN EE TRANSPORT BV;WISSELSEWEG 25;8162RM;EPE
VAN EE REMSERVICE;NIJKERKERWEG 142;3781LB;BARNEVELD
EEFTING D. TECH. & ONTW.;ZANDDIJK 73;9561VD;TER APEL
EELTINK VEERTECHNIEK;LIJNBAAN 66;1969NG;HEEMSKERK
EGGENS SIERBESTRATING;NIJKAMPEN 54;9431GK;WESTERBORK
EITENS HAREN B.V.;FELLAND 5A;9753TA;HAREN
EURO LOGISTIC GRONINGEN BV;TRANSPORTBAAN 25;9672BJ;WINSCHOTEN
AUTOBEDRIJF EKEMA;HEARREWEI 12 A;9073CA;MARRUM
ELGERSMA LOGISTIEK BV;GALVANISTRAAT 15;3846AT;HARDERWIJK
ELS SCHROOTHANDEL;STAALSTRAAT 19;8211AH;LELYSTAD
ELBO TOURS BV;C. HUIJGENSTRAAT 15;8141GM;HEINO
EMATRA B.V.;MARCHANDWEG 35;3771MN;BARNEVELD
EMKO AUTOMATERIALEN BV;DE GRENS 51;6598DK;HEIJEN
EMMUCOM VOF;HANDELSWEG 4;7826TC;EMMEN
ENG TAKEL EN BERGDIENST;LIJNBAAN 61;1969ND;HEEMSKERK
ERPO TRANS;WEEREWEG 23;9939TC;TJUCHEM
ELZINGA LOON & GRONDVERZET BV;KAAPWEG 2;9982EG;UITHUIZERMEEDEN
LOONBEDRIJF ENTJES BV;SCHAAPHOK 9;9621TN;SLOCHTEREN
ARJAN ERIKS TRANSPORT;SPORTLAAN 21;1747GR;TUITJENHORN
ENVIRON TECH TRADING;EDISONSTRAAT 2-1;7903AN;HOOGEVEEN
AUTOBEDR. ESA DELFZIJL BV;RONDEBOSLAAN 19;9936BJ;FARMSUM
AUTOBEDRIJF ESA VEENDAM;DRIEBORGHWEG 2-3;9641KM;VEENDAM
AUTOBEDR. ESA DRACHTEN BV;DOPPLERLAAN 2;9207HC;DRACHTEN
AUTOBEDR.ESA GRONINGEN BV;BORNHOLMSTRAAT 54;9723AZ;GRONINGEN
AUTOBEDR. ESA MARUM BV;TRANSPORTWEG 1;9363TL;MARUM
ESHA INFRA SOLUTIONS BV;HOENDIEP 316;9744TC;GRONINGEN
INT.TRANSP. JAN ESKES BV;NIEUWE VEER 65;2959AL;STREEFKERK
ESBE AUTO'S;KWELDERGRAS 2;9738AJ;GRONINGEN
ALLESCO ESSO CENTER;ROLLEN 16;9734AG;GRONINGEN
ESVE TRAILERFABRIEK BV;ALBERT SCHWEITZERSTRAAT 5;7131PG;LICHTENVOORDE
E.U.B.;HET SPIJK 1;8321WT;URK
ED TESSELAAR TR.SP&VERHUUR;HARTWEG 9 A;1735EG;'T VELD
EUROL BV;ENERGIESTRAAT 12;7442DA;NIJVERDAL
EUROMASTER BANDENSERV. BV;KOELMALAAN 342;1812PS;ALKMAAR
EUROMASTER BANDENSERV. BV;GIDEONWEG 5A;9723BM;GRONINGEN
EVERTS AANN.& GRONDVERZ.;SCHOUWERZIJLSTERWEG 12;9951TG;WINSUM
FABER BLOEMENTRANSP. BV;BURG. J.G. LEGROWEG 80;9761TD;EELDE
FABER ENERGY BV;LEIDEKKERSSTRAAT 4;8601VE;SNEEK
FELD CARROSSERIE B.V.;ELECTRONWEG 6;1627LB;HOORN
J. FEENSTRA TRANSPORTEN;ZANDPAD 4;9394PH;
FEENSTRA LOGISTICS;KOLENBRANDERSTRAAT 31;8301VC;SNEEK
FEENSTRA TRANSPORTEN BV;ACHTERWEG 54;9104CP;DAMWOUDE
VOF J.J. FEENSTRA;ARJEN ROELSWEI 20;9071XK;OUDE LEIJE
FELLINGER INT.TRANSP. VOF;DE VENNEN 1;9321HR;PEIZE
FERRO RENT BV;U T DELFIAWEG 1;9745EN;GRONINGEN
V.O.F. FLOKSTRA;INDUSTRIEWEG 21;9422CX;SMILDE
T. FOKKEMA;FORTUINWEG 15;9101PE;DOKKUM
D. FOKKENS;HOOFDSTRAAT 47;9968AB;PIETERBUREN
FLEVO SERV. SWIFTERBANT*;DE KOLK 29;8255PA;SWIFTERBANT
V/D FLIER BV GRONDVERZET;A.J. ROMIJNWEG 23;9672AH;WINSCHOTEN
FOLKERSMA LAS-/CONSTRUCTIEWERK;EUROPAWEG 23;9636HT;ZUIDBROEK
H. FOLKERTS & ZN;DINGSTEDE 7;8064PV;ZWARTSLUIS
FREESVERHUUR OMMEN;VARSENERESWEG 2;7331RA;OMMEN
PROFILE LEEUWARDEN;SNEKERTREKWEG 83;8912AB;LEEUWARDEN
FSB TRUCKS&VANS INTERIEUR;DOPPLERSTRAAT 14;1704SR;HEERHUGOWAARD
FRIPAAN AANHANGWAGENS BV;TRANSPORTWEG 6;9363TL;MARUM
FROENTJES BANDENSERVICE;RONDWEG 11;9861GK;GROOTEGAST
FTS TRANSPORT BV;HECKETTWEG 5b-02;1951JZ;VELSEN-NOORD Terrein CORUS
VAN FULPEN AUTOMAT.BV;INSTRAAT 19;6021AC;BUDEL
EXPEDITIEBEDRIJF FRUITEMA;WEDDERWEG 27;9665JL;OUDE PEKELA
GALAND TECHN. GROOTHANDEL;KONINGSSPIL 26;7773NK;HARDENBERG
VAN GANSEWINKEL NED. BV NOORD;DE LIER 2;9206BH;DRACHTEN
B. GANZEVELD EXPEDITIE;O. NORGERWEG 6;9491AK;ZEYEN
LOONBEDRIJF GEERTSEMA;ZOUTKAMPERWEG 4;9972TC;NIEKERK (DE MARNE)
LMB GEERTSEMA;OLDE BORCHWEG 32;9853TC;MUNNEKEZIJL
STADSWERK 072 NV;HERCULESSTRAAT 71;1812PE;ALKMAAR
GEMEENTE WERKEN HAREN;WESTERSEDRIFT 9A;9752LA;HAREN
LOONBEDR. WORTELBOER VOF;KERKLAAN 20;9665PB;OUDE PEKELA
GEM.GRON. STADSBEHEER;DUINKERKENSTRAAT 45;9723BP;GRONINGEN
VD GALIEN RECYCLING BV;BALKWAR 10;9288XH;KOOTSTERTILLE
GEHLEN SCHOLS TECHNIEK BV;STEENBERGSTRAAT 31;6465AB;KERKRADE
GEM. SLOCHTEREN;NOORDERVELD 6;9621BN;SLOCHTEREN
GELLING;VERBINDINGSWEG 12;9581TH;MUSSELKANAAL
F. GERDEZ INT.TRANSPORT;NOORDERSTRAAT 7;9982HB;UITHUIZERMEEDEN
J. GERDING;MARCELISSTRAAT 10;9423RR;HOOGERSMILDE
GERJAC TRANSPORT;EENDRACHTSSTRAAT 191;1951AX;VELSEN NOORD
HENCO TRANS;REMBRANDLAAN 45;7742DA;LOCHEM
FA. W. GERSSEN & ZN;PASTOOR KOOPMANWEG 13;1784NX;DEN HELDER
GENERAL CARS & PARTS;NIJVERHEIDSTERREIN 16;1645VX;URSEM
GENTEC ENERGY BV;SLOTERMEER 5-5;8502TM;JOURE
DE GIER KRAANVERHUUR;MELBOURNESTRAAT 80;3047BJ;ROTTERDAM
GJALTEMA VERHUUR;SMIRNOFFSTRAAT 17;9716JR;GRONINGEN
GLS NETHERLANDS;JEVERWEG 14;9723JE;GRONINGEN
GIESING & ZONEN TRANSP BV;DE DRAAI 10;9076PD;ST. ANNA PAROCHIE
GODLIEB & ZN. TRANSPORT BEDRIJF;RONDEBOSLAAN 32;9936BK;FARMSUM
TIM GODERIE TRANSPORT;POPULIERENSTRAAT 6;1731SP;WINKEL
S. GIESING INT. TRANSPORT;BUORREN 24;9034HK;MARSSUM
GIESING INT. WEGVERVOER;DE MARNE 205;8701MH;BOLSWARD
H.K. GIETENBEHEER BV;OELENBOOM 15;9461VA;GIETEN
VAN GINKEL MACHINES BV;GROENEKANSEWEG 26;3737AG;GROENEKAN
VAN GINKEL TECHNIEK BV;ISOTOPENWEG 37;3542AS;UTRECHT
VAN GOENS TRANSPORT;DEELING 9;9301ZT;RODEN
GOES CARROSSERIE*;NAAMRIJK 1;3454PX;DE MEERN
GOMES N-H BV ZAANSTAD;RIJDER 3 (PER 09-04-04);1507DP;ZAANSTAD
GOMES N-H BV WARMENHUIZEN;BREGWEID 18;1749DJ;WARMENHUIZEN
GOMES N-H BV WOGNUM;TENDER 3;1687JB;WOGNUM
GOMES N-H BV PURMEREND;VOLTASTRAAT 15;1446VA;PURMEREND
G.RITZLEHNER TRUCK&BUS BV;DIAMANTSTRAAT 30;7554TA;HENGELO OV
GOSLIGA TRANSPORT BV;R. VAN NAUTAWEG 12;9061AE;GIEKERK
GOUWENBERG CONTAINERSERVICE;WITTE PAAL 27;1742NL;SCHAGEN
DE GRAAF AUTOSPUITERIJ EN SCHADE BV;GROOTHANDELSMARKT 8;1681NN;ZWAAGDIJK
GRAAFSTRA MECHANISATIE;VENEKOTERWEG 5;8431HG;OOSTERWOLDE
GRASDROGERIJ ABBEKERK;MYNSHERENWEG 7;1658CA;LAMBERTSCHAAG
GRASHUIS BV AANNEMERSBEDR;BOVEN WESTERDIEP 29;9641LA;VEENDAM
P.J. GRENT TRANSPORT;NES 142;1693CK;WERVERSHOOF
GRENT TECHN. DIENSTVERL.;KOGGEWEG 35;1606ML;VENHUIZEN
GREUTER EXPEDITIE B.V.;FLUORIETWEG 17;1812RR;ALKMAAR
GEBR. GREVING EXPEDITIE;TIMPWEG 15-17;9731AK;GRONINGEN
TRANSP.W.GREVING & ZN. BV;ENGELBERTERWEG 79;9723EL;ENGELBERT
K.GREVING TRANSPORT B.V.;EUROPAWEG 22;7903TM;HOOGEVEEN
GEBR. GROEN TRANSPORT;KOEMATEN 41;8331TK;STEENWIJK
Fa.Groen Transport;Veerweg 12;2957CP;Nieuw Lekkerland
H. GROENEVELD;INDUSTRIEWEG 13;9919JE;LOPPERSUM
GROENTRANS;OMLOOP 72;9502RK;STADSKANAAL
GROENEWOLD V.O.F.;OOSTERSTRAAT 57;9502EE;STADSKANAAL
L. GROENEWOLD TRANSPORT;DE DOEZE 15;7891SP;KLAZIENAVEEN
R.GROENEWOLD & ZN TRANSPORT BV;1e EXLOERMOND 87;9573PE;EERSTE EXLOERMOND
GROENEWOLD CARROSERIEFABRIEK;INDUSTRIEWEG 1;9601LJ;HOOGEZAND
GROOT RMO TECHNIEK;DE VEKEN 217;1716KJ;OPMEER
DE GROOT TRUCKONDERDELEN;HANEKAMPEN 9;9411XN;BEILEN
G.P.GROOT TECHN.DIENST BV;HOOGEWEG 72;1851PK;HEILOO
C.A.DE GROOT MATERIEEL BV;KOELMALAAN 55;1812PR;ALKMAAR
J. DE GROOT & ZN BV;NOORDERVAART 18;1636VL;SCHERMERHORN
GROTEBOER TRANSPORT;KEIZERSDIJK 50;7462JB;RIJSSEN
GROENENBOOM TRAILER REPARATIE BV;GEYSSENDORFFERWEG 64;3088GK;ROTTERDAM
JACHTWERF GRUNO;REITDIEPSKADE 19;9974PJ;ZOUTKAMP
HARANCO LOONBEDRIJF;AALSUMERWEG 9;9883TA;OLDEHOVE
HARBERS BARNEVELD BV;HARSELAARSEWEG 106;3771MB;BARNEVELD
HARBERS HARDERWIJK BV;NOBELSTRAAT 44-46;3846CG;HARDERWIJK
HARBERS DUIVEN BV;IMPACT 11;6921RZ;DUIVEN
G.T.O. BV Heerlen;KOUMENWEG 3;6433KJ;HOENSBROEK
G.W. TRANS INT. TRANSPORT;EUROPAWEG 4;7766AL;NIEUW-SCHOONEBEEK
HARDEMAN TRADING BV;OUD ARNHEMSEWEG 89 b;6741EG;LUNTEREN
DE HAAN TRANSPORT BV;KADAL 34;9079KW;ST.JACOBIPAROCHIE
P. DE HAAN REPARATIE EN ONDERHOUD;TROELSTRAWEG 12;8523DK;IDSKENHUIZEN
MICHEL DE HAAN TRANSPORT;MIDSCHEEPS 95;9934RR;DELFZIJL
LMB HAAN BV;ZEEVANGSDIJKJE 16;1471EA;KWADIJK
THEO DE HAAN METAALTECHN.;DONIAWEG 55;9074TK;HALLUM
T.B. HAAN;EEXTERWEG 83;9679TH;SCHEEMDA
HABE-TRANS;VRIJHEIDSWEG 10;9641KR;VEENDAM
HADEKA BANDEN VOF;ENERGIEWEG 5;9743AN;GRONINGEN
F. HADELKAMP TRANSPORT;MASTWIJKERDIJK 56;3417BT;MONTFOORT
HAGA AUTOSPECIAALZAAK;NOORDENWEG 79A;2984AG;RIDDERKERK
HAGEN BV;RIJNKADE 9;1382GS;WEESP
A.HAK INDUSTRIAL SERV. BV;PLESMANSTRAAT 26;7903BE;HOOGEVEEN
HAK MATERIAAL B.V.;VAN HENNAERTWEG 19;2952CA;ALBLASSERDAM
HALMA AGRO BV;DE DRAAI 7;9076PD;SINT ANNAPAROCHIE
VAN HARLINGEN KOERIERSDIENST;BAMESTRAWEG 15;1462VM;MIDDENBEEMSTER
HAIO;HEFSWALSTERWEG 18;9982TR;UITHUIZERMEEDEN
J. HAM INT. TRANSPORT B.V.;WESTERWERF 32;1911JA;UITGEEST
HAMA TRUCK&TRAILER *;NIJVERHEIDSSTRAAT 1;7917PZ;GEESBRUG
HAMEFO BV;UDDELERWEG 69a;8075CH;ELSPEET
HAMMINGA BOUW-EN TUINMARKT BV;TALMAWEG 26;9981CZ;UITHUIZEN
E. HAMMINK BV;VW POELMANWEG 14;7602PC;ALMELO
HAMSTRA INT.BERGINGSBEDR.;HANDELSWEG 29/31;9482WG;TYNAARLO
HANOS GRONINGEN;BORNHOLMSTRAAT 56;9723AZ;GRONINGEN
M. VAN HAPPEN BV;WEIJERBEEMD 10;5651GN;EINDHOVEN
HARTMAN EXPEDITIE BV;ABC WESTLAND 439;2685JE;POELDIJK
VAN GANSEWINKEL NED. BV TCE;FOKKERSTRAAT 14;7903AP;HOOGEVEEN
LOON-EN GRONDVERZ.GEBR.HARTENHOF BV;HOOFDVAARTSWEG 73;9405AC;ASSEN
HARTMAN TRANSPORT BV;ABC WESTLAND 439;2685DE;POELDIJK
J. HARTOG TRANSPORTBEDR.;PRUIMLAAN 6;9917PL;WIRDUM
C.DEN HARTOG GRONDVERZET;WEDDERSTRAAT 86;9698TB;WEDDE
HARTOG TRANSPORT;NIJVERHEIDSWEG-NOORD 135;3812PL;AMERSFOORT
MTS. HARTLIEF LAMMERS;ROOZAND 1;9497TD;DONDEREN
HAULO ALKMAAR;DASSENKOOG 4;1822BV;ALKMAAR
HAVEN TRANSPORT HOLLAND;ZANDZEGGE 11;1731LP;WINKEL
HB TRANS;BOVENSTREEK 15;9731DH;GRONINGEN
HCN TRANSPORT INTERN. TRANSPORT BV;MORSEWEG 5;7741KZ;COEVORDEN
HEBU SERVICE BV;BEVERKOOG 42 D;1822BJ;ALKMAAR
HEDI TRANS;SINGEL 43;9971LG;ULRUM
HEEBINK INT.TRANSPORT-EN EXP.;KRUISBOOG 14;3905TG;VEENENDAAL
TRANS.BEDRIJF HEIDEMA BV;RIJKSWEG 87;9791AB;TEN BOER
HEINS TRANSPORT;WEBERSTRAAT 16;7903BD;HOOGEVEEN
IEDEMA INT. TRANSPORT;CAMSTRASTRAAT 35;9105KX;RINSUMAGEEST
IJB MORTEL LEMMER BV;INDUSTRIEWEG 5;8531PA;LEMMER
CARROSSERIEFABRIEK HEIWO BV;INDUSTRIEWEG 2;8471AD;WOLVEGA
VAN 'T HEK;NEKKERWEG 63;1461LD;MIDDENBEEMSTER
'T HEKELTJE VERHUURBEDR.;ROBBENKOOG 29;1822BA;ALKMAAR
JURRY HEKKING METAAL;HET FIESTER 9;8106PP;MARIENHEEM
HELMHOLT TRANSPORT;ALBERT HARKEMAWEG 64;9831TA;ADUARD
HEM TRANSPORT BV;MARKTWEG 22;1607CB;HEM
VD HENDE BV;PEKELWERK 14;9663AW;NIEUWE PEKELA
LOONBEDRIJF HENDRIKS;HOGEWEG 14;9832TA;DEN HORN
HENGST INT. TRANSPORT;SINGEL 5;9626BM;SCHILDWOLDE
HENRION TRANSPORT;WEERDINGERKANAAL ZZ 260;7831AR;NIEUW WEERDINGE
J. HES BV;HOOGEWEG 2;1901MP;CASTRICUM
F. HESSELING MECHANISATIE;POLDERWEG 26;9682XS;OOSTWOLD (GN)
