GEBR.DE BOER TRANSPORT BV;UNIONWIJK 1;9665VA;OUDE PEKELA
DE BOER TRANSPORT VOF;ZUIDDIJK 12;1483MA;DE RIJP
M. BOERMA;NIEUWEDIEP 25;9512SC;NIEUWEDIEP
G.J. DE BOER TRANSPORT;RIJPENDERLAAN 1;8748CW;WITMARSUM
BOELENS HAULERWIJK;TURFSTEKER 1;8433HT;HAULERWIJK
A.H. BOEKEMA & ZN;VENUS 3A;8448CE;HEERENVEEN
T.A. BOEREMA TRANSPORT;TORENSTRAAT 43;9982AW;UITHUIZERMEEDEN
K. BOEREMA;TORENSTRAAT 10;9982AX;UITHUIZERMEEDEN
GEBR. BOEREMA B.V.;TORENSTRAAT 30;9982AX;UITHUIZERMEEDEN
BOERSEMA TRANSPORT;TICHELWERK 20;9321XL;PEIZE
INTEGRON AANDRIJFTECHNIEK;DUINKERKENSTRAAT 44;9723BT;GRONINGEN
J. BOITEN;BEDUMERWEG 35;9921PK;STEDUM
DE BOER MENALDUM BV;MOOLNERSRAK 4-6;9036MJ;MENALDUM
KLAAS BOK;J.P. SANTEEWEG 123;9312TA;NIETAP
LBTB B.V.;NIJVERHEIDSWEG 3;9791DA;TEN BOER
BOL TRUCKRESTAURATIE BV;ENERGIESTRAAT 20;7891GW;KLAZIENAVEEN
BOLDEWIJN VOF;HERCULESSTRAAT 8b;1812PG;ALKMAAR
BOLK TRANSPORT BV;BEATRIX DE RIJKWEG 1;7602PR;ALMELO
BOLK CONTAINER TRANSPORT;ZUIDELIJKE HAVENWEG 4;7554RR;HENGELO
BOLT BOOTTRANSPORT BV;BUITENSTVALLAAT 15;9204WX;DRACHTEN
BOLTENDAL;NATUURSCHOONWEG 4;9312PC;NIETAP
B-ONE;DE MEETEN 58;4706NH;ROOSENDAAL
AUTOBEDRIJF BONTHUIS BV;SMIRNOFFWEG 3;7602RC;ALMELO
VOF D.J. DE BOOD INT.TRAN;WITTE PAAL 173;1742NX;SCHAGEN
BOON TRANSPORT BV;BEDRIJVENPARK 2;1940AM;IJMUIDEN
BOONSTRA VLEESWAREN;LOSPLAATS 6;9321DC;PEIZE
BOONSTRA TRANSPORT BV;LEEKSTERWEG 63B;8433KW;HAULERWIJK
G.J. BOONSTRA;SKIERHUSTERWEI 8;9057RE;JELSUM
FA J. BOONSTRA TRANSPORT;NIEUWEWEG 44;9364PD;NUIS
JAN BOONSTRA TRANSPORT;GAASTWEG 16;8522MV;TJERKGAAST
SCHEFFER INTERNATIONAAL BV;INDUSTRIESTRAAT 14;7891GV;KLAZIENAVEEN
TRADING COMPANY DE BORG;POTTENBAKKERSTRAAT 40;9403VX;ASSEN
GEBR. BORG BV;VALGENWEG 6;9936HV;DELFZIJL
M.J. BORGER TRANSPORT;DOKTER RUINENSTRAAT 15;9131KN;EE
BOOTS BERGING;DE HOUT 25;1607HA;HEM
MACHINEFABRIEK B.RGER;VAN NECKSTRAAT 1a;9601GW;HOOGEZAND
T. BORK & ZN.;NIEUWSTRAAT 23;7927PJ;ALTEVEER
BORK TRANSPORT B.V.;STEPHENSONSTRAAT 61-63;7903AS;HOOGEVEEN
